"MAHALLİ İDARELERCE BELGELENDİRİLEN  KONAKLAMA TESİSLERİNDE TESİSLERE GELİŞ, GECELEME, ORTALAMA KALIŞ SÜRESİ VE DOLULUK ORANLARININ İLLERE VE İLÇELERE GÖRE DAĞILIMI (2022)",,,,,,,,,,,,,
İLLER,İLÇELER,TESİSE GELİŞ SAYISI,,,GECELEME,,,ORTALAMA KALIŞ SÜRESİ,,,DOLULUK ORANI(%),,
,,YABANCI,YERLİ,TOPLAM,YABANCI,YERLİ,TOPLAM,YABANCI,YERLİ,TOPLAM,YABANCI,YERLİ,TOPLAM
Kırşehir,Merkez,298,36029,36327,557,44568,45125,1.8691275167785235,1.2370035249382443,1.2421890054229636,0.6446759259259259,51.583333333333336,52.22800925925926
,Mucur,0,427,427,0,1712,1712,0,4.009367681498829,4.009367681498829,0,39.629629629629626,39.629629629629626
,Çiçekdağı,14,601,615,33,1195,1228,2.357142857142857,1.9883527454242929,1.9967479674796749,0.9821428571428571,35.56547619047619,36.54761904761905
,Kaman,0,120,120,0,950,950,0,7.916666666666667,7.916666666666667,0,39.583333333333336,39.583333333333336
,Toplam,312,37177,37489,590,48425,49015,1.891025641025641,1.302552653522339,1.3074501853877136,0.6115257048092869,50.1917495854063,50.80327529021559
Kocaeli,Başiskele,1542,6579,8121,3169,10468,13637,2.0551232166018156,1.5911232710138319,1.6792266962196774,4.8678955453149,16.079877112135176,20.947772657450077
,Darıca,3284,9544,12828,9643,14732,24375,2.9363580998781975,1.5435875943000839,1.9001403180542562,11.374144845482425,17.376739797121964,28.750884642604387
,Derince,14,710,724,14,710,724,1,1,1,0.2880658436213992,14.609053497942387,14.897119341563785
,Dilovası,1,80,81,3,104,107,3,1.3,1.3209876543209877,0.0641025641025641,2.2222222222222223,2.286324786324786
,Gebze,10546,52470,63016,41284,93221,134505,3.914659586573108,1.7766533257099295,2.1344579154500445,18.72799854835783,42.288604608963894,61.01660315732172
