"MAHALLİ İDARELERCE BELGELENDİRİLEN  KONAKLAMA TESİSLERİNDE TESİSLERE GELİŞ, GECELEME, ORTALAMA KALIŞ SÜRESİ VE DOLULUK ORANLARININ İLLERE VE İLÇELERE GÖRE DAĞILIMI (2022)",,,,,,,,,,,,,
İLLER,İLÇELER,TESİSE GELİŞ SAYISI,,,GECELEME,,,ORTALAMA KALIŞ SÜRESİ,,,DOLULUK ORANI(%),,
,,YABANCI,YERLİ,TOPLAM,YABANCI,YERLİ,TOPLAM,YABANCI,YERLİ,TOPLAM,YABANCI,YERLİ,TOPLAM
,Çeltik,0,1774,1774,0,2338,2338,0,1.3179255918827508,1.3179255918827508,0,16.23611111111111,16.23611111111111
,Emirgazi,20,1531,1551,26,2164,2190,1.3,1.4134552580013062,1.4119922630560928,0.42483660130718953,35.35947712418301,35.78431372549019
,Kadınhanı,0,2954,2954,0,2954,2954,0,1,1,0,82.05555555555556,82.05555555555556
,Sarayönü,0,33,33,0,44,44,0,1.3333333333333333,1.3333333333333333,0,0.7333333333333333,0.7333333333333333
,Taşkent,33,3551,3584,40,4133,4173,1.2121212121212122,1.1638974936637567,1.1643415178571428,0.30303030303030304,31.310606060606062,31.613636363636363
,Tuzlukçu,0,410,410,0,2023,2023,0,4.934146341463415,4.934146341463415,0,56.19444444444444,56.19444444444444
,Yunak,0,6399,6399,0,8229,8229,0,1.285982184716362,1.285982184716362,0,32.346698113207545,32.346698113207545
,Toplam,27120,433875,460995,38582,610849,649431,1.4226401179941004,1.407891673869202,1.4087593140923438,2.311074372244585,36.59005414989458,38.90112852213916
Kütahya,Domaniç,15,538,553,74,1189,1263,4.933333333333334,2.2100371747211898,2.2839059674502713,1.1419753086419753,18.348765432098766,19.49074074074074
,Emet,34,20918,20952,107,55325,55432,3.1470588235294117,2.6448513242183767,2.6456662848415426,0.08970489604292421,46.38246143527834,46.47216633132126
,Gediz,38,12520,12558,73,37686,37759,1.9210526315789473,3.0100638977635783,3.0067685937251154,0.0598753280839895,30.91043307086614,30.97030839895013
,Merkez,3258,62528,65786,7713,125645,133358,2.367403314917127,2.0094197799385873,2.027148633447846,1.968305006890216,32.0637472566733,34.032052263563514
,Simav,77,76716,76793,149,192951,193100,1.9350649350649352,2.5151337400281557,2.514552107613975,0.03609496124031008,46.74200581395349,46.7781007751938
,Tavşanlı,8,8161,8169,15,24110,24125,1.875,2.9542948168116654,2.953237850410087,0.014492753623188406,23.294685990338163,23.309178743961354
,Altıntaş,3,1540,1543,6,2101,2107,2,1.3642857142857143,1.3655217109526896,0.09523809523809523,33.34920634920635,33.44444444444444
,Hisarcık,1,3563,3564,2,9254,9256,2,2.5972495088408643,2.5970819304152637,0.016666666666666666,77.11666666666666,77.13333333333334
,Pazarlar,0,189,189,0,2581,2581,0,13.656084656084657,13.656084656084657,0,47.7962962962963,47.7962962962963
,Şaphane,0,159,159,0,1299,1299,0,8.169811320754716,8.169811320754716,0,36.083333333333336,36.083333333333336
,Toplam,3434,186832,190266,8139,452141,460280,2.3701223063482817,2.4200404641603153,2.4191395204608286,0.6879152086819819,38.21534222492689,38.90325743360887
Malatya,Arapgir,19,7962,7981,334,11154,11488,17.57894736842105,1.400904295403165,1.439418619220649,1.3067292644757433,43.63849765258216,44.9452269170579
,Battalgazi,1132,83584,84716,5173,164780,169953,4.569787985865724,1.9714299387442573,2.0061499598659047,1.5861772912642198,50.525863919295986,52.11204121056021
,Darende,0,6883,6883,0,10034,10034,0,1.4577945663228244,1.4577945663228244,0,40.98856209150327,40.98856209150327
,Pütürge,0,120,120,0,3500,3500,0,29.166666666666668,29.166666666666668,0,34.113060428849906,34.113060428849906
,Yeşilyurt,147,32358,32505,268,51938,52206,1.8231292517006803,1.6051053835218494,1.6060913705583757,0.15487748497457235,30.015025427646787,30.16990291262136
,Akçadağ,4,859,863,6,4385,4391,1.5,5.104772991850989,5.088064889918887,0.06944444444444445,50.75231481481482,50.82175925925926
,Arguvan,2,982,984,4,2873,2877,2,2.925661914460285,2.923780487804878,0.030303030303030304,21.765151515151516,21.795454545454547
,Doğanşehir,0,4855,4855,0,4855,4855,0,1,1,0,48.5985985985986,48.5985985985986
,Doğanyol,0,266,266,0,5633,5633,0,21.17669172932331,21.17669172932331,0,68.03140096618357,68.03140096618357
,Hekimhan,0,4257,4257,0,14608,14608,0,3.4315245478036176,3.4315245478036176,0,55.58599695585997,55.58599695585997
,Kuluncak,0,134,134,0,306,306,0,2.283582089552239,2.283582089552239,0,4.722222222222222,4.722222222222222
,Toplam,1304,142260,143564,5785,274066,279851,4.436349693251533,1.9265148319977505,1.9493118051879301,0.9148559319353512,43.341556757440614,44.25641268937597
Manisa,Akhisar,388,13496,13884,568,21376,21944,1.4639175257731958,1.5838767042086543,1.5805243445692885,1.004953998584572,37.8202406227884,38.825194621372965
,Alaşehir,315,16856,17171,1156,39180,40336,3.6698412698412697,2.3243948742287612,2.3490769320365734,0.7047061692270178,23.884418434528165,24.58912460375518
,Demirci,0,10358,10358,0,16379,16379,0,1.5812898242904037,1.5812898242904037,0,36.88963963963964,36.88963963963964
,Kırkağaç,0,785,785,0,1820,1820,0,2.3184713375796178,2.3184713375796178,0,24.661246612466126,24.661246612466126
,Kula,0,9270,9270,0,16550,16550,0,1.7853290183387271,1.7853290183387271,0,35.47695605573419,35.47695605573419
,Salihli,764,58357,59121,2440,120892,123332,3.193717277486911,2.071593810511164,2.0860946195091423,0.8811845431563742,43.659082701336224,44.5402672444926
,Sarıgöl,0,1163,1163,0,1163,1163,0,1,1,0,17.94753086419753,17.94753086419753
,Soma,22,19637,19659,46,27415,27461,2.090909090909091,1.3960890156337527,1.3968665751055496,0.06666666666666667,39.731884057971016,39.79855072463768
,Şehzadeler,1399,48778,50177,2593,68329,70922,1.8534667619728378,1.4008159416130224,1.413436435020029,1.8975484815221368,50.002927186242225,51.90047566776436
,Turgutlu,97,18093,18190,265,36451,36716,2.731958762886598,2.0146465483888796,2.018471687740517,0.24917724494593324,34.27456511518571,34.52374236013164
,Yunusemre,454,12683,13137,1120,36795,37915,2.4669603524229076,2.90112749349523,2.886123163583771,1.2829324169530356,42.14776632302406,43.43069873997709
,Ahmetli,0,1891,1891,0,4136,4136,0,2.187202538339503,2.187202538339503,0,19.14814814814815,19.14814814814815
,Gölmarmara,0,531,531,0,1070,1070,0,2.0150659133709983,2.0150659133709983,0,18.57638888888889,18.57638888888889
,Gördes,0,3949,3949,0,4795,4795,0,1.2142314510002532,1.2142314510002532,0,22.57532956685499,22.57532956685499
,Köprübaşı,5,151,156,8,812,820,1.6,5.377483443708609,5.256410256410256,0.1388888888888889,14.097222222222221,14.23611111111111
,Saruhanlı,5,618,623,9,2059,2068,1.8,3.331715210355987,3.319422150882825,0.2222222222222222,50.839506172839506,51.06172839506173
,Selendi,0,76,76,0,911,911,0,11.986842105263158,11.986842105263158,0,12.244623655913978,12.244623655913978
,Toplam,3449,216692,220141,8205,400133,408338,2.3789504204117136,1.846551787790966,1.8548930003952013,0.7686038669064749,37.482482763788965,38.25108663069545
Kahramanmaraş,Afşin,3,2488,2491,3,13816,13819,1,5.553054662379421,5.547571256523485,0.015723270440251572,72.41090146750524,72.42662473794549
,Çağlayancerit,0,515,515,0,6799,6799,0,13.201941747572816,13.201941747572816,0,69.94855967078189,69.94855967078189
,Dulkadiroğlu,0,28086,28086,0,29117,29117,0,1.0367086804813785,1.0367086804813785,0,58.92936652499494,58.92936652499494
,Elbistan,22,10584,10606,167,21692,21859,7.590909090909091,2.049508692365835,2.061003205732604,0.39368222536539366,51.13625648279113,51.52993870815653
,Göksun,0,5758,5758,0,6922,6922,0,1.2021535255296978,1.2021535255296978,0,38.71364653243848,38.71364653243848
,Nurhak,20,523,543,235,3113,3348,11.75,5.952198852772467,6.165745856353591,2.7199074074074074,36.030092592592595,38.75
,Onikişubat,0,212,212,0,432,432,0,2.0377358490566038,2.0377358490566038,0,3.495145631067961,3.495145631067961
,Andırın,0,1177,1177,0,3430,3430,0,2.9141886151231944,2.9141886151231944,0,47.638888888888886,47.638888888888886
,Ekinözü,0,358,358,0,712,712,0,1.988826815642458,1.988826815642458,0,9.343832020997375,9.343832020997375
,Pazarcık,4,2915,2919,24,5514,5538,6,1.8915951972555747,1.8972250770811923,0.2777777777777778,63.81944444444444,64.09722222222223
,Toplam,49,52616,52665,429,91547,91976,8.755102040816327,1.7399080127717805,1.7464350137662583,0.23446466633874405,50.03388533639394,50.26835000273269
Mardin,Artuklu,8941,144755,153696,15386,218692,234078,1.720836595459121,1.5107733757037753,1.5229934415990005,2.363114162404583,33.588597582515476,35.951711744920054
,Derik,0,1054,1054,0,11550,11550,0,10.958254269449716,10.958254269449716,0,53.47222222222222,53.47222222222222
,Kızıltepe,285,27153,27438,396,38344,38740,1.3894736842105264,1.4121459875520201,1.4119104891027043,0.3310759969902182,32.057520274224565,32.38859627121478
,Midyat,2238,25598,27836,3831,33544,37375,1.7117962466487935,1.3104148761622,1.3426857307084352,2.8917572463768115,25.320048309178745,28.211805555555557
,Nusaybin,372,3843,4215,782,6178,6960,2.1021505376344085,1.6075982305490502,1.6512455516014235,1.861904761904762,14.709523809523809,16.571428571428573
,Ömerli,0,1256,1256,0,7443,7443,0,5.925955414012739,5.925955414012739,0,33.346774193548384,33.346774193548384
,Savur,0,1588,1588,0,12634,12634,0,7.955919395465995,7.955919395465995,0,39.43196004993758,39.43196004993758
,Toplam,11836,205247,217083,20395,328385,348780,1.72313281514025,1.5999503037803233,1.606666574536007,1.9972775525393187,32.158665804884734,34.15594335742406
Muğla,Bodrum,339108,431315,770423,1322325,1236876,2559201,3.899421423263385,2.8676860299317206,3.3218128223067067,20.27679766674794,18.96650550421154,39.24330317095948
,Dalaman,69,244,313,143,481,624,2.072463768115942,1.971311475409836,1.9936102236421724,5.296296296296297,17.814814814814813,23.11111111111111
,Datça,7416,136188,143604,21476,355454,376930,2.8959007551240563,2.6100243780656154,2.62478761037297,1.7372874500477278,28.754226730735006,30.491514180782733
,Fethiye,171775,103152,274927,409795,243087,652882,2.385649832629894,2.3565902745463005,2.3747467509557083,38.27034245743797,22.701650183509372,60.971992640947335
,Köyceğiz,7635,6647,14282,15702,14981,30683,2.056581532416503,2.2537987061832405,2.1483685758297155,29.637599093997736,28.276708191770478,57.91430728576822
,Marmaris,553016,253204,806220,1382465,591946,1974411,2.4998643800541034,2.337822467259601,2.448972985041304,38.386131218641275,16.436232982643197,54.82236420128447
,Menteşe,1146,51303,52449,6695,131690,138385,5.842059336823735,2.5669064187279496,2.638467844954146,2.312607944732297,45.48877374784111,47.8013816925734
,Milas,1777,5391,7168,4729,14894,19623,2.6612267867191894,2.7627527360415507,2.737583705357143,9.96418036241045,31.382216603455543,41.34639696586599
,Ortaca,12693,12155,24848,27460,27965,55425,2.1633971480343495,2.300699300699301,2.230561815840309,29.98143902172726,30.53280925865269,60.51424828037995
,Ula,1084,16469,17553,3241,36744,39985,2.9898523985239853,2.2311008561539865,2.2779581837862475,2.7288035699250655,30.937105329628693,33.665908899553756
,Yatağan,0,4681,4681,0,6388,6388,0,1.3646656697286905,1.3646656697286905,0,40.17610062893082,40.17610062893082
,Seydikemer,1245,1892,3137,2283,3880,6163,1.8337349397590361,2.050739957716702,1.964615875039847,12.964224872231686,22.032935831913687,34.99716070414537
,Toplam,1096964,1022641,2119605,3196314,2664386,5860700,2.913782038426056,2.6053972019506357,2.764996308274419,24.462235732784748,20.39125017602508,44.85348590880982
Muş,Bulanık,5,5900,5905,7,16237,16244,1.4,2.752033898305085,2.7508890770533445,0.015230635335073977,35.32854656222803,35.3437771975631
,Malazgirt,0,3823,3823,0,8684,8684,0,2.271514517394716,2.271514517394716,0,21.441975308641975,21.441975308641975
,Merkez,83,20983,21066,84,50472,50556,1.0120481927710843,2.405375780393652,2.3998860723440614,0.05647438483259379,33.93303751512707,33.98951189995966
,Hasköy,0,140,140,0,3990,3990,0,28.5,28.5,0,29.166666666666668,29.166666666666668
,Varto,0,2505,2505,0,8228,8228,0,3.2846307385229543,3.2846307385229543,0,26.88888888888889,26.88888888888889
,Toplam,88,33351,33439,91,87611,87702,1.0340909090909092,2.6269377230068063,2.6227458955112293,0.032560469443251756,31.347860312008017,31.380420781451267
Nevşehir,Avanos,18290,29056,47346,38707,50770,89477,2.1162930563149263,1.7473155286343611,1.8898534195074557,15.440801021222276,20.252912079144725,35.693713100367
,Derinkuyu,0,175,175,0,449,449,0,2.565714285714286,2.565714285714286,0,1.9902482269503545,1.9902482269503545
,Gülşehir,5633,3846,9479,9625,6424,16049,1.7086809870406532,1.670306812272491,1.6931110876674755,22.28009259259259,14.87037037037037,37.15046296296296
,Hacıbektaş,2756,6118,8874,8761,15003,23764,3.1788824383164007,2.4522719843085974,2.677935542032905,8.230928222472755,14.095264937993235,22.32619316046599
,Kozaklı,45,86615,86660,89,237041,237130,1.9777777777777779,2.736719967673036,2.7363258712208633,0.009548946397150336,25.432492167718124,25.442041114115273
,Merkez,121366,135510,256876,265882,250489,516371,2.190745348779724,1.8484908862814553,2.010195580747131,24.53351787773933,23.113171856978084,47.64668973471742
,Ürgüp,72345,94498,166843,152182,170248,322430,2.103559333748013,1.8016042667569685,1.9325353775705303,18.227572164331058,20.39142412264942,38.618996286980476
,Toplam,220435,355818,576253,475246,730424,1205670,2.1559461972917187,2.052802275320529,2.0922580880273074,14.517667256237074,22.312765573975813,36.830432830212885
Niğde,Bor,0,22082,22082,0,22110,22110,0,1.001268001086858,1.001268001086858,0,31.228813559322035,31.228813559322035
,Merkez,142,17127,17269,589,34840,35429,4.147887323943662,2.0342149821918607,2.051595344258498,0.5719001844839304,33.82852704146033,34.40042722594426
,Ulukışla,852,93646,94498,1494,240783,242277,1.7535211267605635,2.5712043226619397,2.5638320387733073,0.3114251766618723,50.191357638671754,50.502782815333624
,Altunhisar,0,575,575,0,2630,2630,0,4.573913043478261,4.573913043478261,0,48.7037037037037,48.7037037037037
,Çamardı,1,8324,8325,3,11337,11340,3,1.3619654012493994,1.3621621621621622,0.006361323155216285,24.03944020356234,24.045801526717558
,Çiftlik,12,551,563,59,4147,4206,4.916666666666667,7.526315789473684,7.470692717584369,1.0243055555555556,71.99652777777777,73.02083333333333
,Toplam,1007,142305,143312,2145,315847,317992,2.1300893743793448,2.2195073960858718,2.2188790889806853,0.30133175994605527,44.37050460777703,44.67183636772308
Ordu,Altınordu,477,46270,46747,767,58660,59427,1.6079664570230607,1.2677760968229954,1.2712473527713009,0.6205501618122977,47.45954692556634,48.08009708737864
,Fatsa,201,5045,5246,541,10442,10983,2.691542288557214,2.0697720515361744,2.093595120091498,1.9022503516174403,36.71589310829817,38.618143459915615
,Gülyalı,11,460,471,28,892,920,2.5454545454545454,1.9391304347826086,1.9532908704883227,0.23333333333333334,7.433333333333334,7.666666666666667
,Kabadüz (karadüz),79,3142,3221,206,7436,7642,2.607594936708861,2.3666454487587525,2.3725551071095934,1.2046783625730995,43.485380116959064,44.69005847953216
,Perşembe,37,6769,6806,111,13870,13981,3,2.049047126606589,2.0542168674698793,0.18472291562656015,23.08204360126477,23.26676651689133
,Ünye,67,27556,27623,151,39476,39627,2.253731343283582,1.4325736681666426,1.434565398399884,0.1697010564171724,44.36502584850528,44.53472690492246
,Akkuş,0,6082,6082,0,6700,6700,0,1.1016113120683986,1.1016113120683986,0,53.17460317460318,53.17460317460318
,Çaybaşı,0,422,422,0,1312,1312,0,3.109004739336493,3.109004739336493,0,36.44444444444444,36.44444444444444
,Gölköy,0,3805,3805,0,3805,3805,0,1,1,0,42.27777777777778,42.27777777777778
,Kumru,21,844,865,79,2831,2910,3.761904761904762,3.354265402843602,3.3641618497109826,0.9753086419753086,34.95061728395062,35.925925925925924
,Toplam,893,100395,101288,1883,145424,147307,2.108622620380739,1.448518352507595,1.4543381249506357,0.5180050067398421,40.00550191191439,40.523506918654235
Rize,Ardeşen,106,10864,10970,242,13681,13923,2.2830188679245285,1.2592967599410898,1.2691886964448496,0.9490196078431372,53.65098039215686,54.6
,Çamlıhemşin,62,15096,15158,133,27641,27774,2.1451612903225805,1.8310148383677796,1.8322997756960022,0.13321314102564102,27.685296474358974,27.818509615384617
,Çayeli,1593,17214,18807,3381,35441,38822,2.12241054613936,2.0588474497502034,2.0642314032009357,3.0069370330843115,31.519921736037,34.52685876912131
,Fındıklı,114,1732,1846,222,4280,4502,1.9473684210526316,2.4711316397228638,2.438786565547129,1.9270833333333333,37.15277777777778,39.079861111111114
,İkizdere,4090,11870,15960,9241,26693,35934,2.2594132029339855,2.248778433024431,2.251503759398496,8.800952380952381,25.421904761904763,34.222857142857144
,İyidere,772,4166,4938,1641,6866,8507,2.1256476683937824,1.6481036965914546,1.722762251923856,7.391891891891892,30.92792792792793,38.31981981981982
,Merkez,1741,44132,45873,3128,105773,108901,1.7966685812751293,2.396741593401613,2.3739672574281165,1.2553174412071595,42.44843085319849,43.70374829440565
,Güneysu,19,2384,2403,38,4545,4583,2,1.9064597315436242,1.9071993341656264,0.376984126984127,45.089285714285715,45.46626984126984
,Kalkandere,7,891,898,9,2249,2258,1.2857142857142858,2.5241301907968574,2.514476614699332,0.13157894736842105,32.880116959064324,33.01169590643275
,Toplam,8504,108349,116853,18035,227169,245204,2.1207666980244593,2.096641408780884,2.098397131438645,2.8065670712729536,35.351540616246496,38.158107687519454
Sakarya,Adapazarı,2748,33495,36243,5853,65277,71130,2.1299126637554586,1.9488580385132108,1.9625858786524295,4.248693379790941,47.3845818815331,51.633275261324044
,Akyazı,2,14894,14896,4,36537,36541,2,2.453135490801665,2.453074650912997,0.0031565656565656565,28.832859848484848,28.836016414141415
,Erenler,113,16009,16122,230,26353,26583,2.0353982300884956,1.6461365481916421,1.648864905098623,0.2860696517412935,32.777363184079604,33.0634328358209
,Geyve,4,1918,1922,5,4280,4285,1.25,2.2314911366006256,2.229448491155047,0.026925148088314487,23.0479267635972,23.074851911685514
,Hendek,69,5906,5975,469,16331,16800,6.797101449275362,2.765154080596004,2.811715481171548,0.9283452098178939,32.32581155977831,33.2541567695962
,Karasu,619,11581,12200,986,20123,21109,1.5928917609046849,1.7375874276832743,1.7302459016393443,0.7248933980297015,14.794147919423613,15.519041317453315
,Kocaali,24,5361,5385,57,15004,15061,2.375,2.7987315799291177,2.7968430826369546,0.08067940552016985,21.237084217975937,21.31776362349611
,Pamukova,82,8786,8868,235,17458,17693,2.8658536585365852,1.9870248122012293,1.995151105096978,0.4096931659693166,30.43584379358438,30.845536959553694
,Sapanca,7067,24860,31927,18077,49838,67915,2.5579453799349086,2.0047465808527756,2.127196416825884,8.115375982042648,22.373961840628507,30.489337822671157
,Serdivan,1898,22886,24784,4376,36631,41007,2.305584826132771,1.6005855107926243,1.6545755326016784,4.971597364235401,41.61667802772097,46.58827539195637
,Taraklı,34,694,728,72,1383,1455,2.1176470588235294,1.9927953890489913,1.9986263736263736,1.6,30.733333333333334,32.333333333333336
,Kaynarca,0,118,118,0,152,152,0,1.2881355932203389,1.2881355932203389,0,1.4074074074074074,1.4074074074074074
,Arifiye,212,6217,6429,321,11084,11405,1.5141509433962264,1.782853466302075,1.7739928449214497,1.0408560311284047,35.94033722438392,36.98119325551232
,Toplam,12872,152725,165597,30685,300451,331136,2.383856432566812,1.9672679652971026,1.9996497521090357,2.964992124919075,29.03160661313544,31.996598738054516
Samsun,Atakum,8197,66730,74927,16417,112195,128612,2.0028059045992435,1.681327738648284,1.7164973907937058,6.549770596449232,44.76161978854977,51.311390384999
,Bafra,80,5059,5139,171,8829,9000,2.1375,1.7452065625617712,1.7513134851138354,0.5560975609756098,28.71219512195122,29.26829268292683
,Canik,2805,13683,16488,6248,26793,33041,2.227450980392157,1.958123218592414,2.003942261038331,12.382084819659136,53.097502972651604,65.47958779231074
,Çarşamba,1069,21961,23030,3820,57265,61085,3.5734331150608045,2.6075770684395065,2.652409900130265,3.355292050944225,50.29863855950813,53.65393061045235
,Havza,236,14193,14429,319,22197,22516,1.3516949152542372,1.5639399704079475,1.5604685009356158,0.5373084049183089,37.38756947953512,37.92487788445343
,İlkadım,7167,55034,62201,11759,82020,93779,1.6407143853774242,1.490351419122724,1.5076767254545747,6.211833069202324,43.32805071315372,49.53988378235605
,Kavak,1,1514,1515,1,3241,3242,1,2.140686922060766,2.1399339933993398,0.01893939393939394,61.38257575757576,61.40151515151515
,Ladik,3,1601,1604,3,3203,3206,1,2.000624609618988,1.9987531172069826,0.03184713375796178,34.00212314225053,34.033970276008496
,Tekkeköy,0,1546,1546,0,5687,5687,0,3.678525226390686,3.678525226390686,0,87.76234567901234,87.76234567901234
,Terme,94,3434,3528,128,7625,7753,1.3617021276595744,2.220442632498544,2.197562358276644,0.5584642233856894,33.267888307155324,33.826352530541016
,Vezirköprü,135,8249,8384,195,14871,15066,1.4444444444444444,1.8027639713904715,1.7969942748091603,0.6196377502383222,47.25452812202097,47.8741658722593
,Yakakent,61,1104,1165,110,2212,2322,1.8032786885245902,2.003623188405797,1.9931330472103004,1.0185185185185186,20.48148148148148,21.5
,Alaçam,68,1941,2009,113,2979,3092,1.661764705882353,1.534775888717156,1.5390741662518665,1.5694444444444444,41.375,42.94444444444444
,Ondokuz mayıs,20,1004,1024,28,2741,2769,1.4,2.7300796812749004,2.7041015625,0.07179487179487179,7.028205128205128,7.1
,Salıpazarı,17,231,248,17,231,248,1,1,1,0.7870370370370371,10.694444444444445,11.481481481481481
,Toplam,19953,197284,217237,39329,352089,391418,1.9710820428005813,1.7846809675391822,1.8018017188600468,4.743520160171751,42.46589716684155,47.209417327013306
Siirt,Merkez,143,21427,21570,326,30997,31323,2.2797202797202796,1.4466327530685583,1.452155771905424,0.31885758998435054,30.31787949921753,30.636737089201876
,Baykan,6,2192,2198,16,3587,3603,2.6666666666666665,1.636405109489051,1.6392174704276614,0.03333333333333333,7.472916666666666,7.50625
,Toplam,149,23619,23768,342,34584,34926,2.295302013422819,1.4642448875904992,1.4694547290474587,0.22763578274760382,23.01916932907348,23.246805111821086
Sinop,Ayancık,16,2562,2578,22,7090,7112,1.375,2.767369242779079,2.7587276958882856,0.0985663082437276,31.765232974910393,31.863799283154123
,Boyabat,86,6283,6369,90,8766,8856,1.0465116279069768,1.395193378959096,1.3904851625058878,0.24410089503661514,23.775427176566314,24.01952807160293
,Gerze,65,5211,5276,195,14388,14583,3,2.761082325849165,2.7640257771038668,0.4513888888888889,33.30555555555556,33.75694444444444
,Merkez,596,49715,50311,1885,137680,139565,3.162751677852349,2.769385497334808,2.7740454373794994,0.3221561389116762,23.53021602406344,23.852372162975115
,Dikmen,0,671,671,0,671,671,0,1,1,0,13.979166666666666,13.979166666666666
,Durağan,0,260,260,0,3023,3023,0,11.626923076923077,11.626923076923077,0,50.38333333333333,50.38333333333333
,Türkeli,0,5491,5491,0,9293,9293,0,1.692405754871608,1.692405754871608,0,36.31496678389996,36.31496678389996
,Toplam,763,70193,70956,2192,180911,183103,2.872870249017038,2.5773367714729387,2.5805146851569987,0.3028042547313165,24.99115899986186,25.293963254593177
Sivas,Divriği,42,5800,5842,49,8096,8145,1.1666666666666667,1.3958620689655172,1.3942143101677509,0.10816777041942605,17.8719646799117,17.980132450331126
,İmranlı,13,800,813,27,1297,1324,2.076923076923077,1.62125,1.6285362853628536,0.24725274725274726,11.877289377289378,12.124542124542124
,Kangal,312,19205,19517,780,22895,23675,2.5,1.1921374642020308,1.2130450376594764,0.9608277900960828,28.202759300320277,29.16358709041636
,Merkez,3169,79602,82771,6942,147785,154727,2.1905964026506783,1.8565488304313962,1.8693382948134007,1.263652249890782,26.901303334789574,28.164955584680357
,Suşehri,129,17883,18012,135,21777,21912,1.0465116279069768,1.21774869988257,1.2165223184543636,0.27607361963190186,44.533742331288344,44.809815950920246
,Yıldızeli,9,10634,10643,24,30515,30539,2.6666666666666665,2.8695693059996237,2.869397726205017,0.0186219739292365,23.677063935443822,23.69568590937306
,Akıncılar,0,1095,1095,0,3239,3239,0,2.9579908675799085,2.9579908675799085,0,49.98456790123457,49.98456790123457
,Gemerek,3,576,579,3,1717,1720,1,2.9809027777777777,2.970639032815199,0.02976190476190476,17.033730158730158,17.063492063492063
,Gölova,0,498,498,0,4734,4734,0,9.506024096385541,9.506024096385541,0,41.09375,41.09375
,Gürün,0,1110,1110,0,1424,1424,0,1.2828828828828829,1.2828828828828829,0,9.992982456140352,9.992982456140352
,Koyulhisar,0,1540,1540,0,3214,3214,0,2.087012987012987,2.087012987012987,0,27.47008547008547,27.47008547008547
,Şarkışla,16,5220,5236,16,6764,6780,1,1.295785440613027,1.294881588999236,0.05291005291005291,22.367724867724867,22.42063492063492
,Toplam,3693,143963,147656,7976,253457,261433,2.1597617113457894,1.7605704243451443,1.7705545321558216,0.8406319494946302,26.71314594070467,27.553777890199303
Tekirdağ,Çerkezköy,145,12099,12244,240,18026,18266,1.6551724137931034,1.4898751962972145,1.4918327344005227,0.2699055330634278,20.272154745838957,20.542060278902383
,Çorlu,3067,26531,29598,5150,69196,74346,1.6791653081186828,2.6081188044174737,2.5118589093857695,4.3089022757697455,57.89491298527443,62.20381526104418
,Hayrabolu,155,2377,2532,342,5077,5419,2.206451612903226,2.135885570046277,2.140205371248025,3.1666666666666665,47.00925925925926,50.175925925925924
,Kapaklı,49,10508,10557,168,15067,15235,3.4285714285714284,1.4338599162542824,1.4431183101259828,0.49295774647887325,44.21068075117371,44.703638497652584
,Malkara,167,9586,9753,206,19309,19515,1.2335329341317365,2.0142916753599,2.0009227929867732,0.4467577531988723,41.87594881804381,42.32270657124268
,Marmara ereğlisi,3721,12748,16469,5873,37331,43204,1.5783391561408224,2.9283809224976465,2.6233529661788815,4.587922818529802,29.162565424576204,33.750488243106005
,Saray,256,12969,13225,519,25119,25638,2.02734375,1.936849410131853,1.938601134215501,0.8199052132701422,39.682464454976305,40.502369668246445
,Süleymanpaşa,2771,22469,25240,3731,36758,40489,1.3464453265968965,1.6359428545996706,1.6041600633914421,4.262051633538953,41.9899474525931,46.25199908613205
,Şarköy,140,5275,5415,360,10139,10499,2.5714285714285716,1.922085308056872,1.9388734995383194,0.6497022198159177,18.298141129759973,18.947843349575887
,Toplam,10471,114562,125033,16589,236022,252611,1.5842803934676726,2.0602119376407533,2.020354626378636,2.6178415313481356,37.24565639350471,39.863497924852844
Tokat,Erbaa,83,10686,10769,312,36473,36785,3.7590361445783134,3.413157402208497,3.4158231962113472,0.2987647227808101,34.92578760892464,35.224552331705446
,Merkez,1742,95992,97734,4853,211348,216201,2.785878300803674,2.2017251437619803,2.212137024986187,0.8724337539999281,37.99446302088951,38.86689677488944
,Niksar,0,12074,12074,0,20514,20514,0,1.699022693390757,1.699022693390757,0,41.59367396593674,41.59367396593674
,Reşadiye,3,6878,6881,3,11189,11192,1,1.6267810410002908,1.6265077750326988,0.006157635467980296,22.965927750410508,22.97208538587849
,Sulusaray,0,322,322,0,433,433,0,1.34472049689441,1.34472049689441,0,42.450980392156865,42.450980392156865
,Turhal,2,8952,8954,11,33507,33518,5.5,3.7429624664879357,3.743354925173107,0.01138009517897786,34.66480446927374,34.67618456445272
,Almus,0,503,503,0,1980,1980,0,3.9363817097415508,3.9363817097415508,0,39.285714285714285,39.285714285714285
,Artova,0,405,405,0,3294,3294,0,8.133333333333333,8.133333333333333,0,76.25,76.25
,Pazar,0,155,155,0,414,414,0,2.670967741935484,2.670967741935484,0,21.5625,21.5625
,Yeşilyurt,0,482,482,0,4581,4581,0,9.504149377593361,9.504149377593361,0,63.625,63.625
,Zile,168,8833,9001,436,20966,21402,2.5952380952380953,2.37359900373599,2.3777358071325407,0.7933042212518195,38.14774381368268,38.9410480349345
,Toplam,1998,145282,147280,5615,344699,350314,2.81031031031031,2.3726201456477747,2.3785578489951114,0.6038608377695327,37.070387696940365,37.674248534709896
